Order_ID,Order_Date,Customer_ID,Age,Gender,State,Region,Category,Product_Name,Quantity,Unit_Price,Discount_%,Sales,Profit,Payment_Method
ORD00001,2025-11-23,CUST1758,52.0,Male,Delhi,North,Office Supplies,Pen,4,499,5,1896.2,393.96,Net Banking
ORD00002,2024-07-22,CUST1733,59.0,Female,Delhi,North,Electronics,Laptop,4,7999,20,25596.8,-1042.11,UPI
ORD00003,2024-12-10,CUST1104,23.0,Female,Gujarat,West,Electronics,Laptop,7,999,10,6293.7,27.8,Card
ORD00004,2025-01-22,CUST1080,53.0,Female,Odisha,East,Office Supplies,Pen,1,14999,15,12749.15,1755.3,Cash
ORD00005,2024-04-13,CUST1389,35.0,Female,Karnataka,South,Electronics,Headphones,4,999,0,3996.0,996.45,Cash
ORD00006,2024-06-24,CUST1546,64.0,Male,Tamil Nadu,South,Furniture,Chair,5,14999,0,74995.0,12238.87,UPI
ORD00007,2024-02-27,CUST1234,20.0,Female,Gujarat,West,Furniture,Sofa,4,14999,10,53996.4,13229.02,Net Banking
ORD00008,2025-10-20,CUST1469,27.0,Female,West Bengal,East,Electronics,Headphones,6,499,15,2544.9,225.15,UPI
ORD00009,2024-05-21,CUST1521,49.0,Male,Tamil Nadu,South,Office Supplies,Printer Paper,7,7999,15,47594.05,3650.4,Card
ORD00010,2025-09-02,CUST1479,51.0,Female,Delhi,North,Office Supplies,Notebook,7,7999,0,55993.0,4740.85,Card
ORD00011,2024-01-04,CUST1976,64.0,Female,Punjab,North,Office Supplies,Pen,2,999,15,1698.3,9.09,UPI
ORD00012,2025-07-06,CUST1976,51.0,Male,Punjab,North,Office Supplies,Printer Paper,4,499,10,1796.4,389.6,Cash
ORD00013,2025-08-03,CUST1969,23.0,Male,Maharashtra,West,Electronics,Phone,5,499,0,2495.0,85.59,Net Banking
ORD00014,2025-09-13,CUST1433,31.0,Male,Delhi,North,Electronics,Headphones,8,7999,5,,2600.08,Cash
ORD00015,2024-12-12,CUST1021,55.0,Male,Gujarat,West,Furniture,Sofa,8,199,5,1512.4,43.32,UPI
